placeName,type,coords,decimalLat,decimalLong
Munhaere   Mozambique,populated place,"12°26'29'' S, 35°25'26'' E",-12.441388,35.423888
	Muérere   Mozambique,intermittent stream,"14°15'34'' S, 38°3'13'' E",-14.259444,38.053611
	Marere   Mozambique,populated place,"11°39'46'' S, 40°22'5'' E",-11.662777,40.368055
	Marrere   Mozambique,mission,"15°7'1'' S, 39°11'6'' E",-15.116944,39.184999
	Mirrere   Mozambique,stream,"14°22'27'' S, 38°22'20'' E",-14.374166,38.372222
	Muarera   Mozambique,populated place,"14°36'41'' S, 39°38'44'' E",-14.611388,39.645555
	Muchere   Mozambique,populated place,"21°25'48'' S, 32°40'49'' E",-21.43,32.680277
	Muerece   Mozambique,intermittent stream,"14°7'3'' S, 37°28'31'' E",-14.1175,37.475277
	Muerele   Mozambique,populated place,"14°6'43'' S, 40°29'3'' E",-14.111944,40.484166
	Muerera   Mozambique,stream,"20°4'33'' S, 33°8'57'' E",-20.075833,33.149166
	Muerera   Mozambique,stream,"18°56'53'' S, 33°38'20'' E",-18.948055,33.638888
	Muerera   Mozambique,stream,"18°20'36'' S, 34°33'25'' E",-18.343333,34.556944
	Murire   Mozambique,populated place,"14°21'0'' S, 40°42'0'' E",-14.35,40.7
	Murrure   Mozambique,populated place,"22°25'30'' S, 35°6'0'' E",-22.425,35.1
	Puerere   Mozambique,populated place,"15°1'29'' S, 40°5'38'' E",-15.024722,40.093888
	Mueraerie   Mozambique,populated place,"12°51'14'' S, 39°38'32'' E",-12.853888,39.642222
	Muembere   Mozambique,stream,"14°48'8'' S, 32°57'48'' E",-14.802222,32.963333
	Muembere   Mozambique,populated place,"13°51'29'' S, 37°31'57'' E",-13.858055,37.5325
	Muerrete   Mozambique,stream,"13°44'52'' S, 39°34'53'' E",-13.747777,39.581388
	Murrecue   Mozambique,stream,"15°29'0'' S, 35°44'0'' E",-15.483333,35.733333
	Fureme   Mozambique,populated place,"18°30'20'' S, 32°58'24'' E",-18.505555,32.973333
	Marera   Mozambique,populated place,"20°4'9'' S, 34°6'43'' E",-20.069166,34.111944
	Marera   Mozambique,populated place,"19°15'11'' S, 33°29'12'' E",-19.253055,33.486666
	Marire   Mozambique,populated place,"20°18'17'' S, 33°34'11'' E",-20.304722,33.569722
	Marrare   Mozambique,populated place,"17°29'56'' S, 37°37'5'' E",-17.498888,37.618055
	Merire   Mozambique,intermittent stream,"15°7'22'' S, 38°23'9'' E",-15.122777,38.385833
	Merrera   Mozambique,stream,"13°12'50'' S, 40°30'24'' E",-13.213888,40.506666
	Morera   Mozambique,stream,"18°34'0'' S, 35°44'0'' E",-18.566666,35.733333
	Morera   Mozambique,populated place,"21°16'24'' S, 34°6'4'' E",-21.273333,34.101111
	Morire   Mozambique,populated place,"16°45'52'' S, 35°27'20'' E",-16.764444,35.455555
	Morrure   Mozambique,triangulation station,"22°27'20'' S, 35°5'41'' E",-22.455555,35.094722
	Muceve   Mozambique,distributary(-ies,"20°57'17'' S, 35°6'36'' E",-20.954722,35.11
	Muchele   Mozambique,populated place,"21°1'17'' S, 33°31'46'' E",-21.021388,33.529444
	Mucheve   Mozambique,populated place,"20°34'37'' S, 33°50'9'' E",-20.576944,33.835833
	Mucheve   Mozambique,airfield,"20°33'57'' S, 33°53'15'' E",-20.565833,33.8875
	Muedege   Mozambique,stream,"21°12'17'' S, 33°33'55'' E",-21.204722,33.565277
	Muelele   Mozambique,stream,"14°5'32'' S, 35°32'20'' E",-14.092222,35.538888
	Muemede   Mozambique,populated place,"11°25'23'' S, 39°46'23'' E",-11.423055,39.773055
	Muemede   Mozambique,populated place,"11°11'55'' S, 39°51'36'' E",-11.198611,39.86
	Muemede   Mozambique,populated place,"10°51'22'' S, 40°9'34'' E",-10.856111,40.159444
	Muenene   Mozambique,populated place,"14°47'57'' S, 40°27'53'' E",-14.799166,40.464722
	Mueneze   Mozambique,stream,"21°23'24'' S, 32°51'11'' E",-21.39,32.853055
	Muetete   Mozambique,intermittent stream,"14°45'13'' S, 37°35'7'' E",-14.753611,37.585277
	Muetete   Mozambique,stream,"14°5'32'' S, 35°32'20'' E",-14.092222,35.538888
	Muguene   Mozambique,populated place,"26°7'3'' S, 32°15'59'' E",-26.1175,32.266388
	Muguene   Mozambique,populated place,"22°54'59'' S, 34°44'53'' E",-22.916388,34.748055
	Muguene   Mozambique,triangulation station,"26°7'34'' S, 32°16'34'' E",-26.126111,32.276111
	Mulele   Mozambique,school,"15°41'10'' S, 37°11'19'' E",-15.686111,37.188611
	Mundele   Mozambique,stream,"13°52'26'' S, 40°21'3'' E",-13.873888,40.350833
	Muntene   Mozambique,stream,"17°17'46'' S, 38°1'39'' E",-17.296111,38.027499
	Muntene   Mozambique,stream,"17°16'27'' S, 38°4'50'' E",-17.274166,38.080555
	Murembe   Mozambique,populated place,"18°18'15'' S, 36°1'38'' E",-18.304166,36.027222
	Murira   Mozambique,stream,"19°42'6'' S, 33°16'58'' E",-19.701666,33.282777
	Murruri   Mozambique,stream,"12°30'34'' S, 39°22'53'' E",-12.509444,39.381388
	Murruri   Mozambique,populated place,"22°25'30'' S, 35°6'0'' E",-22.425,35.1
	Murruro   Mozambique,intermittent stream,"15°38'58'' S, 39°54'43'' E",-15.649444,39.911944
	Mussete   Mozambique,intermittent stream,"17°40'44'' S, 35°48'48'' E",-17.678888,35.813333
	Mussete   Mozambique,populated place,"20°18'53'' S, 34°2'58'' E",-20.314722,34.049444
	Mutete   Mozambique,locality,"14°43'14'' S, 39°43'2'' E",-14.720555,39.717222
	Muvene   Mozambique,populated place,"17°4'28'' S, 37°0'30'' E",-17.074444,37.008333
	Narere   Mozambique,populated place,"11°39'46'' S, 40°22'5'' E",-11.662777,40.368055
	Purrece   Mozambique,stream,"13°46'27'' S, 38°10'57'' E",-13.774166,38.1825
	Purrege   Mozambique,stream,"13°46'27'' S, 38°10'57'' E",-13.774166,38.1825
	Supere   Mozambique,populated place,"15°27'44'' S, 40°26'4'' E",-15.462222,40.434444
	Tutere   Mozambique,populated place,"20°44'39'' S, 32°39'25'' E",-20.744166,32.656944
	Maujére   Mozambique,populated place,"15°14'49'' S, 35°51'11'' E",-15.246944,35.853055
	Morrurue   Mozambique,stream,"19°27'38'' S, 33°12'35'' E",-19.460555,33.209722
	Mucheque   Mozambique,populated place,"21°17'56'' S, 34°52'9'' E",-21.298888,34.869166
	Mucueper   Mozambique,populated place,"14°20'13'' S, 38°21'26'' E",-14.336944,38.357222
	Muguére   Mozambique,populated place,"23°51'49'' S, 33°33'49'' E",-23.863611,33.563611
	Murrorro   Mozambique,intermittent stream,"15°45'8'' S, 38°48'49'' E",-15.752222,38.813611
	Murruria   Mozambique,populated place,"16°56'29'' S, 38°29'46'' E",-16.941388,38.496111
	Muépele   Mozambique,intermittent stream,"14°39'28'' S, 38°26'51'' E",-14.657777,38.4475